Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
BCO,"Brink's Company",55.51,0.74,+1.35%,56.01,54.5,326100,2022-07-25
BDC,"Belden Inc",62.28,0.07,+0.11%,62.63,61.67,234700,2022-07-25
BFH,"Bread Financial Hldgs Inc",43.92,-0.23,-0.52%,44.89,43.27,442500,2022-07-25
BHF,"Brighthouse Financial Inc",42.33,0.69,+1.66%,42.5,41.77,401100,2022-07-25
BJ,"Bj's Wholesale Club Holdings Inc",68.95,-0.51,-0.73%,69.47,68.28,1173500,2022-07-25
BKH,"Black Hills Corp",73.53,1.99,+2.78%,73.61,71.27,447400,2022-07-25
BLD,"Topbuild Corp",189.23,-0.35,-0.18%,190.8,186.15,234200,2022-07-25
BLDR,"Builders Firstsource",65.18,-0.38,-0.58%,66.31,64.37,1484100,2022-07-25
BLKB,"Blackbaud Inc",57.1,-0.53,-0.92%,58.1,56.15,256900,2022-07-25
BOH,"Bank of Hawaii Corp",78.35,1.4,+1.82%,78.93,77.33,177600,2022-07-25
BRBR,"Bellring Brands Inc Cl A",24.27,-0.15,-0.61%,24.76,24.08,766800,2022-07-25
BRKR,"Bruker Corp",64.11,-0.58,-0.90%,64.78,63.69,391100,2022-07-25
BRX,"Brixmor Property Group Inc",22.18,0.17,+0.77%,22.24,21.88,1587900,2022-07-25
BYD,"Boyd Gaming Corp",55.2,0.56,+1.02%,55.47,54.04,1080100,2022-07-25
CABO,"Cable One Inc",1425.51,-9.8,-0.68%,1444.06,1420.76,26500,2022-07-25
CACI,"Caci International",291.23,5.02,+1.75%,291.94,286.21,145700,2022-07-25
CADE,"Cadence Bank",24.57,0.51,+2.12%,24.7,24.09,1681700,2022-07-25
CALX,"Calix Inc",44.32,-0.96,-2.12%,45.48,43.51,563200,2022-07-25
CAR,"Avis Budget Group",160.11,3.79,+2.42%,160.55,153.4,382900,2022-07-25
CASY,"Casey's General Stor",198.9,0.19,+0.10%,200.02,197.65,231600,2022-07-25
CATY,"Cathay Genl Bncp",41.51,0.6,+1.47%,41.77,41.12,183200,2022-07-25
CBRL,"Cracker Barrel",91.47,-1.12,-1.21%,92.59,90.26,303000,2022-07-25
CBSH,"Commerce Bancshares",69.16,1.73,+2.57%,69.31,68.05,506800,2022-07-25
CBT,"Cabot Corp",71.28,1.59,+2.28%,71.46,69.2,299000,2022-07-25
CC,"Chemours Company",34.19,0.63,+1.88%,34.26,33.46,1098400,2022-07-25
CFR,"Cullen/Frost Bankers",127.21,3.02,+2.43%,127.45,124.48,286700,2022-07-25
CGNX,"Cognex Cp",48.46,-0.3,-0.62%,48.9,47.93,506200,2022-07-25
CHDN,"Churchill Downs IN",217.47,0.6,+0.28%,219.34,214.9,96900,2022-07-25
CHE,"Chemed Inc",512.52,6.04,+1.19%,512.96,506.64,59900,2022-07-25
CHH,"Choice Hotels International",117.98,0.79,+0.67%,118.22,116.25,189200,2022-07-25
