Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
LQDA,"Liquidia Corp",15.89,-0.22,-1.40%,16.07,16.19,15.65,701300,2025-02-24
LRCX,"Lam Research Corp",83.34,-2.68,-3.12%,86.45,86.71,83.22,11728601,2025-02-24
LSCC,"Lattice Semicond",66.24,-0.51,-0.76%,66.72,67.44,65.16,2672700,2025-02-24
LSTR,"Landstar System",156.59,-2.72,-1.71%,159.7,159.97,156,361400,2025-02-24
LULU,"Lululemon Athletica",368.22,9.25,+2.58%,364,372.41,360,2001700,2025-02-24
LWLG,"Lightwave Logic Inc",1.32,-0.12,-8.33%,1.45,1.4669,1.28,1044000,2025-02-24
LYEL,"Lyell Immunopharma Inc",0.6651,-0.0356,-5.08%,0.71,0.7699,0.6564,1881600,2025-02-24
LYFT,"Lyft Inc Cl A",12.72,-0.33,-2.53%,13.03,13.11,12.46,19890000,2025-02-24
MANH,"Manhattan Assoc",176.95,-5.56,-3.05%,181.96,181.96,174.79,2041200,2025-02-24
MAR,"Marriot Int Cl A",276.76,-0.71,-0.26%,279.35,280.6,274.74,2058200,2025-02-24
MARA,"Mara Holdings Inc",13.89,-0.77,-5.25%,14.6,14.65,13.68,38058902,2025-02-24
MASI,"Masimo Corp",170.72,0.76,+0.45%,169.25,171.96,166.6,591100,2025-02-24
MAT,"Mattel Inc",21.19,0.04,+0.19%,21.3,21.35,21,4114700,2025-02-24
MATW,"Matthews Intl Corp",24.39,0.14,+0.58%,24.32,24.93,24.21,284200,2025-02-24
MBIN,"Merchants Bancorp",41.21,-0.26,-0.63%,41.71,42.12,41.1,104900,2025-02-24
MBUU,"Malibu Boats Inc",34.4,-0.11,-0.32%,34.66,34.89,34.24,156600,2025-02-24
MCHP,"Microchip Technology",60.83,-0.24,-0.39%,60.98,62.28,60.69,9836199,2025-02-24
MCRI,"Monarch Casino",90.22,0.82,+0.92%,90.17,90.84,89.73,109200,2025-02-24
MCW,"Mister Car Wash Inc",7.46,0.2,+2.75%,7.33,7.48,7.2,1783300,2025-02-24
MDB,"Mongodb Inc Cl A",267.1,-6.16,-2.25%,274.35,275,257.65,1465800,2025-02-24
