Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SBAC,"SBA Communications",222.57,-5.99,-2.62%,228.18,220,1162600,2023-08-04
SBUX,"Starbucks Corp",102.33,0.2,+0.20%,102.9,101.44,5548800,2023-08-03
SCHW,"The Charles Schwab Corp",65.87,0.53,+0.81%,66.26,65,7428300,2023-08-03
SEDG,"Solaredge Tech",189.79,-5.72,-2.93%,202.47,188.89,4203300,2023-08-03
SJM,"J.M. Smucker Company",150.05,-1.7,-1.12%,151.99,149.75,454500,2023-08-03
SLB,"Schlumberger N.V.",57.98,0.51,+0.89%,58.38,57.31,7387500,2023-08-03
SPG,"Simon Property Group",118.37,-5.69,-4.59%,119.68,114.15,2966100,2023-08-03
SPGI,"S&P Global Inc",383.72,-10.53,-2.67%,392.97,382.7,2144500,2023-08-03
SRE,Sempra,143.31,-3.56,-2.42%,148.43,142.38,1498000,2023-08-03
STT,"State Street Corp",73,0.29,+0.40%,73.69,72.11,2926500,2023-08-03
STX,"Seagate Technology Hldgs Plc",68.28,3.27,+5.03%,68.73,64.44,4846300,2023-08-03
STZ,"Constellation Brands Inc",268.73,-0.8,-0.30%,269.75,267.13,956000,2023-08-03
SWK,"Stanley Black & Decker Inc",99.14,-2.11,-2.08%,101.08,98.04,1302400,2023-08-03
SYF,"Synchrony Financial",34.3,0.16,+0.47%,34.35,33.65,2876900,2023-08-03
SYY,"Sysco Corp",74.22,-1.41,-1.86%,75.62,74.16,3089400,2023-08-03
T,"AT&T Inc",14.09,-0.26,-1.81%,14.26,14.03,40848000,2023-08-03
TAP,"Molson Coors Brewing Company",65.12,-2.21,-3.28%,67.15,65.02,2566500,2023-08-03
TEL,"Te Connectivity Ltd",139.92,-1.39,-0.98%,140.84,138.45,1286400,2023-08-03
TFC,"Truist Financial Corp",32.28,-0.03,-0.09%,32.38,31.65,8521200,2023-08-03
TFX,"Teleflex Inc",239.47,-9.14,-3.68%,245.2,237.47,605700,2023-08-03
TGT,"Target Corp",132.73,-0.81,-0.61%,134.04,132.6,3726300,2023-08-03
TJX,"TJX Companies",86.02,0.41,+0.48%,86.67,85.52,3361300,2023-08-03
TMO,"Thermo Fisher Scientific Inc",548.38,-5.38,-0.97%,552.71,545.31,1103100,2023-08-03
TPR,"Tapestry Inc",43,0.97,+2.31%,43.18,41.61,2460200,2023-08-03
TROW,"T Rowe Price Group",117.02,-1.51,-1.27%,118.95,116.64,1043800,2023-08-03
TRV,"The Travelers Companies Inc",169.4,-1.7,-0.99%,171.59,169.31,1663900,2023-08-03
TSCO,"Tractor Supply Company",227.14,1.14,+0.50%,230.79,225.18,1027300,2023-08-03
TSLA,"Tesla Inc",259.32,5.21,+2.05%,260.49,252,97829500,2023-08-03
TSN,"Tyson Foods",56.27,0.86,+1.55%,56.65,55.13,3208300,2023-08-03
TT,"Trane Technologies Plc",205.25,0.19,+0.09%,208.34,202.99,1563900,2023-08-03
TXN,"Texas Instruments",171.8,-0.64,-0.37%,172.26,169.64,4517300,2023-08-03
TYL,"Tyler Technologies",382.61,-5.52,-1.42%,388.41,378.67,222200,2023-08-03
UDR,"United Dominion Realty Trust",40.25,-0.22,-0.54%,40.39,39.4,2631300,2023-08-03
UNH,"Unitedhealth Group Inc",504.86,0.06,+0.01%,506,501.04,2443000,2023-08-03
UNP,"Union Pacific Corp",229.89,-0.31,-0.13%,231.73,228.55,1914100,2023-08-03
UPS,"United Parcel Service",181.5,-1.85,-1.01%,184.56,181.26,3694400,2023-08-03
URI,"United Rentals",465,-3.16,-0.67%,465.78,452.13,645200,2023-08-03
V,"Visa Inc",238.76,1.2,+0.51%,239.05,235.24,5034000,2023-08-03
VFC,"V.F. Corp",19.04,-0.01,-0.05%,19.12,18.31,7350900,2023-08-03
VLO,"Valero Energy Corp",125.6,-0.71,-0.56%,126.45,122.57,3446500,2023-08-03
VRSK,"Verisk Analytics Inc",230.4,-2.02,-0.87%,237.23,229.76,1460800,2023-08-03
VRTX,"Vertex Pharmaceutic",347.74,-10.66,-2.97%,356.84,347.08,1177100,2023-08-03
VTR,"Ventas Inc",48.22,-0.26,-0.54%,48.25,47.32,1858900,2023-08-03
VTRS,"Viatris Inc",10.45,0.02,+0.19%,10.48,10.3,6847900,2023-08-03
VZ,"Verizon Communications Inc",33.06,-0.26,-0.78%,33.25,32.73,20469699,2023-08-03
WAB,"Wabtec Corp",116.54,-0.96,-0.82%,117.76,115.82,969900,2023-08-03
WAT,"Waters Corp",291.41,-0.36,-0.12%,294.27,287.89,938800,2023-08-03
