Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
FORR,"Forrester Resrch",31.1,0.06,+0.19%,31.04,31.44,30.96,42200,2023-08-28
FOX,"Fox Corp Cl B",30.43,0.28,+0.93%,30.25,30.51,30.19,673400,2023-08-28
FOXA,"Fox Corp Cl A",32.77,0.34,+1.05%,32.63,32.82,32.48,3141400,2023-08-28
FOXF,"Fox Factory Cp",106.93,1.2,+1.13%,106.42,107.81,106.37,92000,2023-08-28
FREE,"Whole Earth Brands Inc",3.59,-0.06,-1.64%,3.66,3.66,3.54,164200,2023-08-28
FRHC,"Freedom Holding Corp",98.43,2.52,+2.63%,95.49,99.56,94.29,406100,2023-08-28
FRME,"First Merchants Corp",29.7,0.27,+0.92%,29.59,30.02,29.53,131300,2023-08-28
FROG,"Jfrog Ltd",26.96,0.21,+0.79%,26.82,27.27,26.73,568500,2023-08-28
FRPT,"Freshpet Inc CS",72.45,-0.9,-1.23%,72.99,74.06,72.32,486900,2023-08-28
FRSH,"Freshworks Inc Cl A",21.2,0.05,+0.24%,21.25,21.58,20.98,2179800,2023-08-28
FSLR,"First Solar Inc",176.76,-0.69,-0.39%,177.99,179.41,174.91,1327600,2023-08-28
FSV,"Firstsrvce Sub VT Sh",148.99,2.59,+1.77%,146.81,149.47,146.81,32000,2023-08-28
FTAI,"Ftai Aviation Ltd",35.59,0.29,+0.82%,35.48,35.73,35.27,605600,2023-08-28
FTEK,"Fuel Tech Inc",1.1,0,0.00%,1.09,1.11,1.08,36800,2023-08-28
FTNT,"Fortinet Inc",58.7,-0.11,-0.19%,59.1,59.43,58.2,4839900,2023-08-28
FTRE,"Fortrea Holdings Inc",26.82,-0.65,-2.37%,27.48,27.97,26.8,968000,2023-08-28
FULC,"Fulcrum Therapeutics Inc",5.78,0.29,+5.19%,5.45,5.88,5.33,1532900,2023-08-28
FULT,"Fulton Financial Cor",13.19,0.24,+1.85%,13.03,13.23,13,602200,2023-08-28
FUTU,"Futu Holdings Ltd ADR",55,3.94,+7.72%,52.87,55.23,52.15,3587400,2023-08-28
FWONA,"Liberty Media Formula One Sr A",57.15,0.48,+0.85%,57.12,57.99,57.08,93200,2023-08-28
FWONK,"Liberty Media Formula One Sr C",65.12,0.67,+1.04%,65.02,65.81,64.23,528500,2023-08-28
FWRD,"Foward Air Corp",70.89,-0.32,-0.45%,72.57,72.57,70.24,908400,2023-08-28
FYBR,"Frontier Communications Parent Inc",15.1,-0.14,-0.92%,15.3,15.62,14.84,1643400,2023-08-28
GABC,"German Amer Bncp Inc",28.62,0.17,+0.60%,28.49,28.93,28.49,50600,2023-08-28
GALT,"Galectin Therapeutic",1.69,0.0373,+2.26%,1.65,1.69,1.6336,16700,2023-08-28
GATE,"Marblegate Acquisition Corp Cl A",10.32,0.02,+0.19%,10.3,10.33,10.3,2600,2023-08-25
GDEN,"Golden Entmt",35.12,0.11,+0.31%,35.18,35.65,34.94,98700,2023-08-28
GDS,"Gds Holdings Ltd ADR",11.44,0.08,+0.70%,11.43,11.65,11.2,612000,2023-08-28
GDYN,"Grid Dynamics Holdings Inc",11.27,-0.07,-0.62%,11.38,11.44,11.22,170100,2023-08-28
GEHC,"Ge Healthcare Technologies Inc",69.31,0.72,+1.05%,69.06,69.66,68.76,2437900,2023-08-28
